ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
3y9cCbnBn0zjkJa2YkOj70, 0.803, 0.585, 0, -5.39, 1, 0.087, 2.87e-05, 0.201, 0.241, 146.02, 254080, 4, 63
4Km5HrUvYTaSUfiSGPJeQR, 0.927, 0.665, 11, -5.313, 1, 0.244, 0, 0.123, 0.175, 127.076, 343150, 4, 79
0s3nnoMeVWz3989MkNQiRf, 0.511, 0.566, 6, -7.23, 0, 0.2, 0, 0.34, 0.218, 83.903, 239836, 4, 60
5NQbUaeTEOGdD6hHcre0dZ, 0.618, 0.717, 7, -5.738, 1, 0.318, 0, 0.625, 0.603, 190.05, 196693, 4, 76
2meEiZKWkiN28gITzFwQo5, 0.623, 0.734, 9, -5.95, 1, 0.107, 1.9e-06, 0.145, 0.372, 107.853, 244453, 4, 84
7rfiXyFb5M9BqdkvKvVEiB, 0.728, 0.811, 7, -4.278, 1, 0.0564, 2.07e-06, 0.362, 0.705, 114.995, 228707, 4, 68
4q6dqyGM25sKFU8nYAGRe4, 0.711, 0.508, 7, -7.299, 1, 0.0494, 0, 0.141, 0.665, 98.098, 217800, 4, 72
4QeoDcR16IHpmmgFGQDrCp, 0.72, 0.727, 5, -3.882, 1, 0.0489, 0, 0.138, 0.481, 99.994, 223190, 4, 69
7GX5flRQZVHRAGd6B4TmDO, 0.732, 0.75, 11, -6.366, 0, 0.231, 0, 0.109, 0.401, 155.096, 182707, 4, 87
3O8NlPh2LByMU9lSRSHedm, 0.545, 0.478, 10, -11.066, 0, 0.287, 0, 0.114, 0.317, 92.326, 245227, 4, 76
7py16W5fWYLFFS6BElKAjn, 0.605, 0.77, 5, -3.645, 0, 0.0446, 0, 0.159, 0.298, 130.037, 225915, 4, 71
6Pgkp4qUoTmJIPn7ReaGxL, 0.653, 0.863, 2, -4.799, 1, 0.0457, 0, 0.0406, 0.276, 134.004, 181673, 4, 84
1a5Yu5L18qNxVhXx38njON, 0.789, 0.442, 11, -7.844, 1, 0.0421, 0.00366, 0.0927, 0.45, 121.971, 192846, 4, 56
5a8RPWgKSmcGBGcffmIrUi, 0.691, 0.716, 7, -5.985, 1, 0.0351, 9.06e-06, 0.263, 0.507, 112.035, 187027, 4, 45
5b88tNINg4Q4nrRbrCXUmg, 0.647, 0.822, 5, -4.662, 0, 0.183, 0, 0.0908, 0.962, 160.019, 232720, 4, 74
0puf9yIluy9W0vpMEUoAnN, 0.706, 0.786, 0, -3.417, 0, 0.0909, 0, 0.38, 0.749, 150.035, 199387, 4, 80
5uu28fUesZMl89lf9CLrgN, 0.522, 0.833, 0, -3.715, 1, 0.0575, 0, 0.127, 0.296, 180.009, 193569, 4, 71
4dVpf9jZjcORqGTLUaeYj9, 0.797, 0.844, 11, -5.482, 1, 0.275, 0, 0.087, 0.52, 170.142, 173600, 4, 81
0Dc7J9VPV4eOInoxUiZrsL, 0.851, 0.525, 2, -5.221, 0, 0.0874, 0, 0.111, 0.405, 97.988, 266840, 4, 74
6A8dnC0xkiuWN4BshmTB2I, 0.617, 0.642, 8, -8.624, 1, 0.0334, 0.157, 0.0929, 0.221, 105.885, 194013, 4, 67
3KiktyOxQd2Z0bmnabgRq2, 0.697, 0.377, 3, -7.755, 1, 0.0397, 0, 0.0999, 0.336, 138.754, 244573, 4, 46
